iter	MultiClass
0	0.577605452
1	0.319778476
2	0.2340344966
3	0.1557757276
4	0.1185075588
5	0.08861372772
6	0.06707274055
7	0.0546499615
8	0.04394149893
9	0.0352521266
10	0.03138337682
11	0.02757853757
12	0.02396752246
13	0.02201267228
14	0.0205782193
15	0.01796647009
16	0.01602709107
17	0.01578987154
18	0.013818191
19	0.0119347718
20	0.01023864976
21	0.009039653194
22	0.007915708407
23	0.00724247206
24	0.006197378316
25	0.005653179973
26	0.005102487787
27	0.004986414686
28	0.004894701157
29	0.004375172692
30	0.004277611403
31	0.003999624274
32	0.003756072345
33	0.003338483263
34	0.00320906207
35	0.003153599894
36	0.003030309659
37	0.002915121984
38	0.002892106223
39	0.002751432269
40	0.002718513806
41	0.002514167667
42	0.002360948896
43	0.00226398495
44	0.002151058096
45	0.001977795606
46	0.001951036124
47	0.001889511713
48	0.001873281953
49	0.001780868918
50	0.001754979062
51	0.001735012502
52	0.001661416101
53	0.001641580699
54	0.001634187427
55	0.001625454992
56	0.001578638366
57	0.00152140698
58	0.001466578459
59	0.001413853021
60	0.001407960384
61	0.001386520853
62	0.001375361737
63	0.001320688798
64	0.001314821393
65	0.001287935603
66	0.001244503629
67	0.001212152685
68	0.001199015119
69	0.001190099508
70	0.001167087247
71	0.001139948542
72	0.001083862345
73	0.001079446113
74	0.001073171036
75	0.001030276124
76	0.001008972851
77	0.00100309174
78	0.0009961654769
79	0.0009688738727
80	0.0009543563811
81	0.0009333141415
82	0.000929914103
83	0.0009270112466
84	0.0009220999138
85	0.0009138561548
86	0.0008806982269
87	0.0008724544825
88	0.0008651649884
89	0.0008630726453
90	0.0008408400916
91	0.0008149723734
92	0.0008023389509
93	0.0007709400635
94	0.0007566173735
95	0.000732049024
96	0.0007257749266
97	0.0007229900844
98	0.0007198880951
99	0.0007160446021
